service_id,route_id,count
JUIN20SEM,JUIN2017S,34
JUIN20SEM,JUIN2020E,21
JUIN20SEM,JUIN2020O,19
JUIN20SEM,JUIN20222E,13
JUIN20SEM,JUIN20222O,17
JUIN20SEM,JUIN2022E,19
JUIN20SEM,JUIN2022O,20
JUIN20SEM,JUIN2024E,37
JUIN20SEM,JUIN2024O,37
JUIN20SEM,JUIN20252E,7
JUIN20SEM,JUIN20252O,7
JUIN20SEM,JUIN2026E,67
JUIN20SEM,JUIN2026O,66
JUIN20SEM,JUIN2027N,26
JUIN20SEM,JUIN2027S,28
JUIN20SEM,JUIN202E,4
JUIN20SEM,JUIN202O,6
JUIN20SEM,JUIN20313N,2
JUIN20SEM,JUIN20313S,2
JUIN20SEM,JUIN2031N,23
JUIN20SEM,JUIN2031S,27
JUIN20SEM,JUIN2033N,23
JUIN20SEM,JUIN2033S,23
JUIN20SEM,JUIN20360N,36
JUIN20SEM,JUIN2036E,9
JUIN20SEM,JUIN2036O,8
JUIN20SEM,JUIN2037N,35
JUIN20SEM,JUIN2037S,33
JUIN20SEM,JUIN2039N,26
JUIN20SEM,JUIN2039S,28
JUIN20SEM,JUIN20402E,6
JUIN20SEM,JUIN20402O,6
JUIN20SEM,JUIN20404E,4
JUIN20SEM,JUIN2040E,38
JUIN20SEM,JUIN2040O,38
JUIN20SEM,JUIN2041N,5
JUIN20SEM,JUIN2041S,4
JUIN20SEM,JUIN2042E,54
JUIN20SEM,JUIN2042O,56
JUIN20SEM,JUIN2043N,24
JUIN20SEM,JUIN2043S,26
JUIN20SEM,JUIN2045N,26
JUIN20SEM,JUIN2045S,27
JUIN20SEM,JUIN2046N,31
JUIN20SEM,JUIN2046S,33
JUIN20SEM,JUIN2048E,28
JUIN20SEM,JUIN2048O,26
JUIN20SEM,JUIN2050E,32
JUIN20SEM,JUIN2050O,33
JUIN20SEM,JUIN2052E,18
JUIN20SEM,JUIN2052O,18
JUIN20SEM,JUIN2055N,19
JUIN20SEM,JUIN2055S,24
JUIN20SEM,JUIN2056E,34
JUIN20SEM,JUIN2056O,29
JUIN20SEM,JUIN2058E,27
JUIN20SEM,JUIN2058O,25
JUIN20SEM,JUIN2060E,22
JUIN20SEM,JUIN2060O,22
JUIN20SEM,JUIN2061N,23
JUIN20SEM,JUIN2061S,26
JUIN20SEM,JUIN2063N,33
JUIN20SEM,JUIN2063S,34
JUIN20SEM,JUIN2065N,37
JUIN20SEM,JUIN2065S,39
JUIN20SEM,JUIN2066E,26
JUIN20SEM,JUIN2066O,22
JUIN20SEM,JUIN2070E,35
JUIN20SEM,JUIN2070O,32
JUIN20SEM,JUIN2073N,38
JUIN20SEM,JUIN2073S,39
JUIN20SEM,JUIN2074E,19
JUIN20SEM,JUIN2074O,21
JUIN20SEM,JUIN2076E,37
JUIN20SEM,JUIN2076O,39
JUIN20SEM,JUIN20901N,8
JUIN20SEM,JUIN20901S,6
JUIN20SEM,JUIN20902N,21
JUIN20SEM,JUIN20902S,23
JUIN20SEM,JUIN20903N,20
JUIN20SEM,JUIN20903S,24
JUIN20SEM,JUIN20925N,11
JUIN20SEM,JUIN20925S,10
JUIN20SEM,JUIN20942E,4
JUIN20SEM,JUIN20942O,4
