route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_headsign,route_color,route_text_color,accessible
252E,STL,252,Saint-François,3,https://stlaval.ca/reseau/horaires-autobus/route/252E,ST-FRANCOIS,151f6d,FFFFFF,0
252O,STL,252,Métro Henri-Bourassa,3,https://stlaval.ca/reseau/horaires-autobus/route/252O,H-BOURASSA,151f6d,FFFFFF,0
26E,STL,26,Métro Montmorency,3,https://stlaval.ca/reseau/horaires-autobus/route/26E,MONTMORENCY,151f6d,FFFFFF,0
26O,STL,26,Gare Sainte-Dorothée,3,https://stlaval.ca/reseau/horaires-autobus/route/26O,STEDOROTHEE,151f6d,FFFFFF,0
27N,STL,27,Gare Vimont,3,https://stlaval.ca/reseau/horaires-autobus/route/27N,GARE VIMONT,151f6d,FFFFFF,0
27S,STL,27,Métro Cartier,3,https://stlaval.ca/reseau/horaires-autobus/route/27S,CARTIER,151f6d,FFFFFF,0
31N,STL,31,Auteuil,3,https://stlaval.ca/reseau/horaires-autobus/route/31N,AUTEUIL,151f6d,FFFFFF,0
31S,STL,31,Métro Henri-Bourassa,3,https://stlaval.ca/reseau/horaires-autobus/route/31S,H-BOURASSA,151f6d,FFFFFF,0
313N,STL,313,Chomedey,3,https://stlaval.ca/reseau/horaires-autobus/route/313N,CHOMEDEY,151f6d,FFFFFF,0
313S,STL,313,Métro Côte-Vertu,3,https://stlaval.ca/reseau/horaires-autobus/route/313S,COTE-VERTU,151f6d,FFFFFF,0
33N,STL,33,Métro Montmorency,3,https://stlaval.ca/reseau/horaires-autobus/route/33N,MONTMORENCY,151f6d,FFFFFF,1
33S,STL,33,Métro Cartier,3,https://stlaval.ca/reseau/horaires-autobus/route/33S,CARTIER,151f6d,FFFFFF,1
36E,STL,36,Métro Montmorency,3,https://stlaval.ca/reseau/horaires-autobus/route/36E,MONTMORENCY,151f6d,FFFFFF,0
36O,STL,36,Chomedey,3,https://stlaval.ca/reseau/horaires-autobus/route/36O,CHOMEDEY,151f6d,FFFFFF,0
360N,STL,360,Chomedey,3,https://stlaval.ca/reseau/horaires-autobus/route/360N,CHOMEDEY,151f6d,FFFFFF,1
37N,STL,37,Sainte-Rose,3,https://stlaval.ca/reseau/horaires-autobus/route/37N,STE-ROSE,151f6d,FFFFFF,0
37S,STL,37,Métro Cartier,3,https://stlaval.ca/reseau/horaires-autobus/route/37S,CARTIER,151f6d,FFFFFF,0
39N,STL,39,Auteuil,3,https://stlaval.ca/reseau/horaires-autobus/route/39N,AUTEUIL,151f6d,FFFFFF,1
39S,STL,39,Terminus Le Carrefour,3,https://stlaval.ca/reseau/horaires-autobus/route/39S,CARREFOUR,151f6d,FFFFFF,1
40E,STL,40,Métro Montmorency,3,https://stlaval.ca/reseau/horaires-autobus/route/40E,MONTMORENCY,151f6d,FFFFFF,1
40O,STL,40,Chomedey,3,https://stlaval.ca/reseau/horaires-autobus/route/40O,CHOMEDEY,151f6d,FFFFFF,1
41N,STL,41,Auteuil,3,https://stlaval.ca/reseau/horaires-autobus/route/41N,AUTEUIL,151f6d,FFFFFF,1
41S,STL,41,Métro Cartier,3,https://stlaval.ca/reseau/horaires-autobus/route/41S,CARTIER,151f6d,FFFFFF,1
42E,STL,42,Saint-François,3,https://stlaval.ca/reseau/horaires-autobus/route/42E,ST-FRANCOIS,151f6d,FFFFFF,0
42O,STL,42,Terminus Le Carrefour,3,https://stlaval.ca/reseau/horaires-autobus/route/42O,CARREFOUR,151f6d,FFFFFF,0
43N,STL,43,Auteuil,3,https://stlaval.ca/reseau/horaires-autobus/route/43N,AUTEUIL,151f6d,FFFFFF,1
43S,STL,43,Métro Cartier,3,https://stlaval.ca/reseau/horaires-autobus/route/43S,CARTIER,151f6d,FFFFFF,1
45N,STL,45,Auteuil,3,https://stlaval.ca/reseau/horaires-autobus/route/45N,AUTEUIL,151f6d,FFFFFF,0
45S,STL,45,Métro Montmorency,3,https://stlaval.ca/reseau/horaires-autobus/route/45S,MONTMORENCY,151f6d,FFFFFF,0
46N,STL,46,Laval-Ouest,3,https://stlaval.ca/reseau/horaires-autobus/route/46N,LAVAL-OUEST,151f6d,FFFFFF,0
46S,STL,46,Métro Montmorency,3,https://stlaval.ca/reseau/horaires-autobus/route/46S,MONTMORENCY,151f6d,FFFFFF,0
48E,STL,48,Duvernay,3,https://stlaval.ca/reseau/horaires-autobus/route/48E,DUVERNAY,151f6d,FFFFFF,1
48O,STL,48,Métro Cartier,3,https://stlaval.ca/reseau/horaires-autobus/route/48O,CARTIER,151f6d,FFFFFF,1
50E,STL,50,Saint-Vincent-De-Paul,3,https://stlaval.ca/reseau/horaires-autobus/route/50E,ST-VCT-PAUL,151f6d,FFFFFF,1
50O,STL,50,Terminus Le Carrefour,3,https://stlaval.ca/reseau/horaires-autobus/route/50O,CARREFOUR,151f6d,FFFFFF,1
52E,STL,52,Saint-François,3,https://stlaval.ca/reseau/horaires-autobus/route/52E,ST-FRANCOIS,151f6d,FFFFFF,0
52O,STL,52,Métro Henri-Bourassa,3,https://stlaval.ca/reseau/horaires-autobus/route/52O,H-BOURASSA,151f6d,FFFFFF,0
55N,STL,55,Laval-Ouest,3,https://stlaval.ca/reseau/horaires-autobus/route/55N,LAVAL-OUEST,151f6d,FFFFFF,0
55S,STL,55,Métro Henri-Bourassa,3,https://stlaval.ca/reseau/horaires-autobus/route/55S,H-BOURASSA,151f6d,FFFFFF,0
56E,STL,56,Métro Montmorency,3,https://stlaval.ca/reseau/horaires-autobus/route/56E,MONTMORENCY,151f6d,FFFFFF,0
56O,STL,56,Sainte-Dorothée,3,https://stlaval.ca/reseau/horaires-autobus/route/56O,STEDOROTHEE,151f6d,FFFFFF,0
58E,STL,58,Saint-Vincent-De-Paul,3,https://stlaval.ca/reseau/horaires-autobus/route/58E,ST-VCT-PAUL,151f6d,FFFFFF,0
58O,STL,58,Métro Cartier,3,https://stlaval.ca/reseau/horaires-autobus/route/58O,CARTIER,151f6d,FFFFFF,0
60E,STL,60,Métro Cartier,3,https://stlaval.ca/reseau/horaires-autobus/route/60E,CARTIER,151f6d,FFFFFF,1
60O,STL,60,Chomedey,3,https://stlaval.ca/reseau/horaires-autobus/route/60O,CHOMEDEY,151f6d,FFFFFF,1
61N,STL,61,Fabreville,3,https://stlaval.ca/reseau/horaires-autobus/route/61N,FABREVILLE,151f6d,FFFFFF,0
61S,STL,61,Métro Montmorency,3,https://stlaval.ca/reseau/horaires-autobus/route/61S,MONTMORENCY,151f6d,FFFFFF,0
63N,STL,63,Gare Sainte-Rose,3,https://stlaval.ca/reseau/horaires-autobus/route/63N,STE-ROSE,151f6d,FFFFFF,1
63S,STL,63,Métro Cartier,3,https://stlaval.ca/reseau/horaires-autobus/route/63S,CARTIER,151f6d,FFFFFF,1
65N,STL,65,Gare Sainte-Rose,3,https://stlaval.ca/reseau/horaires-autobus/route/65N,STE-ROSE,151f6d,FFFFFF,0
65S,STL,65,Métro Montmorency,3,https://stlaval.ca/reseau/horaires-autobus/route/65S,MONTMORENCY,151f6d,FFFFFF,0
66E,STL,66,Terminus Le Carrefour,3,https://stlaval.ca/reseau/horaires-autobus/route/66E,CARREFOUR,151f6d,FFFFFF,1
66O,STL,66,Sainte-Dorothée,3,https://stlaval.ca/reseau/horaires-autobus/route/66O,STEDOROTHEE,151f6d,FFFFFF,1
70E,STL,70,Métro Cartier,3,https://stlaval.ca/reseau/horaires-autobus/route/70E,CARTIER,151f6d,FFFFFF,0
70O,STL,70,Métro Montmorency,3,https://stlaval.ca/reseau/horaires-autobus/route/70O,MONTMORENCY,151f6d,FFFFFF,0
713N,STL,713,Sainte-Dorothée,3,https://stlaval.ca/reseau/horaires-autobus/route/713N,STEDOROTHEE,151f6d,FFFFFF,0
713S,STL,713,Métro Côte-Vertu,3,https://stlaval.ca/reseau/horaires-autobus/route/713S,COTE-VERTU,151f6d,FFFFFF,0
73N,STL,73,Fabreville,3,https://stlaval.ca/reseau/horaires-autobus/route/73N,FABREVILLE,151f6d,FFFFFF,1
73S,STL,73,Métro Cartier,3,https://stlaval.ca/reseau/horaires-autobus/route/73S,CARTIER,151f6d,FFFFFF,1
730N,STL,730,Gare Sainte-Dorothée,3,https://stlaval.ca/reseau/horaires-autobus/route/730N,STEDOROTHEE,151f6d,FFFFFF,0
730S,STL,730,Montréal,3,https://stlaval.ca/reseau/horaires-autobus/route/730S,MONTRÉAL,151f6d,FFFFFF,0
74E,STL,74,Saint-François,3,https://stlaval.ca/reseau/horaires-autobus/route/74E,ST-FRANCOIS,151f6d,FFFFFF,0
74O,STL,74,Métro Cartier,3,https://stlaval.ca/reseau/horaires-autobus/route/74O,CARTIER,151f6d,FFFFFF,0
744E,STL,744,Métro Côte-Vertu,3,https://stlaval.ca/reseau/horaires-autobus/route/744E,COTE-VERTU,151f6d,FFFFFF,0
744O,STL,744,Gare Sainte-Dorothée,3,https://stlaval.ca/reseau/horaires-autobus/route/744O,STEDOROTHEE,151f6d,FFFFFF,0
76E,STL,76,Métro Montmorency,3,https://stlaval.ca/reseau/horaires-autobus/route/76E,MONTMORENCY,151f6d,FFFFFF,0
76O,STL,76,Gare Sainte-Dorothée,3,https://stlaval.ca/reseau/horaires-autobus/route/76O,STEDOROTHEE,151f6d,FFFFFF,0
901N,STL,901,Saint-François,3,https://stlaval.ca/reseau/horaires-autobus/route/901N,ST-FRANCOIS,151f6d,FFFFFF,0
901S,STL,901,Métro Cartier,3,https://stlaval.ca/reseau/horaires-autobus/route/901S,CARTIER,151f6d,FFFFFF,0
902N,STL,902,Terminus Le Carrefour,3,https://stlaval.ca/reseau/horaires-autobus/route/902N,CARREFOUR,151f6d,FFFFFF,1
902S,STL,902,Métro Côte-Vertu,3,https://stlaval.ca/reseau/horaires-autobus/route/902S,COTE-VERTU,151f6d,FFFFFF,1
903N,STL,903,Gare Sainte-Dorothée,3,https://stlaval.ca/reseau/horaires-autobus/route/903N,STEDOROTHEE,151f6d,FFFFFF,0
903S,STL,903,Métro Montmorency,3,https://stlaval.ca/reseau/horaires-autobus/route/903S,MONTMORENCY,151f6d,FFFFFF,0
925N,STL,925,Saint-François,3,https://stlaval.ca/reseau/horaires-autobus/route/925N,ST-FRANCOIS,151f6d,FFFFFF,0
925S,STL,925,Métro Radisson,3,https://stlaval.ca/reseau/horaires-autobus/route/925S,RADISSON,151f6d,FFFFFF,0
942E,STL,942,Saint-François,3,https://stlaval.ca/reseau/horaires-autobus/route/942E,ST-FRANCOIS,151f6d,FFFFFF,0
942O,STL,942,Métro Montmorency,3,https://stlaval.ca/reseau/horaires-autobus/route/942O,MONTMORENCY,151f6d,FFFFFF,0
