stop_id,stop_code,stop_name,stop_lon,stop_lat,location_type,stop_display,wheelchair_boarding,stop_abribus
41500,41500,Dagenais / Frontenac,-73.80136,45.579061,0,0,2,0
41501,41501,Dagenais / Fleury,-73.80305,45.579669,0,0,1,0
41502,41502,Daniel-Johnson / de Chenonceau,-73.75111,45.56317,0,0,1,1
41504,41504,Daniel-Johnson / de Chenonceau,-73.75127,45.563841,0,0,1,0
41505,41505,Daniel-Johnson / Le Carrefour,-73.75328,45.56508,0,0,1,1
41506,41506,Daniel-Johnson / Édouard-Montpetit,-73.75224,45.564703,0,0,1,0
41508,41508,Daniel-Johnson / face au Centropolis,-73.74675,45.559357,0,0,1,0
41509,41509,Daniel-Johnson / face au Centropolis,-73.74694,45.56006,0,0,1,1
41510,41510,Daniel-Johnson / face au 2540,-73.75472,45.566873,0,0,2,1
41511,41511,Daniel-Johnson / face au 2540,-73.75594,45.567421,0,0,2,0
41512,41512,D'Argenteuil / du Bon-Pasteur,-73.71283,45.555478,0,0,2,0
41513,41513,D'Argenteuil / Laval,-73.71042,45.556517,0,0,1,0
41514,41514,D'Argenteuil / Giroux,-73.71792,45.552481,0,0,1,0
41515,41515,D'Argenteuil / Montmorency,-73.71666,45.55314,0,0,1,0
41516,41516,D'Argenteuil / Montmorency,-73.71671,45.553302,0,0,1,0
41517,41517,D'Argenteuil / Brien,-73.71475,45.554425,0,0,1,0
41518,41518,D'Argenteuil / Brien,-73.71466,45.554605,0,0,1,0
41519,41519,D'Argenteuil / du Bon-Pasteur,-73.71289,45.555316,0,0,1,0
41529,41529,de la Renaissance / Henri-Angers,-73.79135,45.601628,0,0,2,0
41530,41530,de la Renaissance / Antoine-Plamondon,-73.79368,45.601118,0,0,2,0
41531,41531,de la Renaissance / Antoine-Plamondon,-73.79346,45.601335,0,0,2,0
41532,41532,de la Renaissance / Galarneau,-73.79175,45.601384,0,0,2,0
41533,41533,de la Renaissance / P.-É.-Borduas,-73.79755,45.601212,0,0,2,1
41534,41534,de Salaberry / Grenet,-73.71347,45.527024,0,0,2,0
41537,41537,Juge-Desnoyers / face au 100,-73.6763,45.559814,0,0,2,0
41539,41539,Saint-Hubert / Juge-Desnoyers,-73.67732,45.558373,0,0,2,0
41543,41543,Dufferin / du Ruisseau,-73.78198,45.625344,0,0,2,1
41544,41544,Dufferin / du Lac,-73.78226,45.627044,0,0,2,0
41545,41545,Dufferin / du Lac,-73.78248,45.62716,0,0,2,0
CP41546,41546,Dufferin / chemin de fer C.P.,-73.78283,45.628577,0,0,2,0
41547,41547,Dufferin / Sainte-Rose,-73.7802,45.619787,0,0,2,0
41548,41548,Dufferin / Napoléon,-73.78068,45.621305,0,0,2,0
41549,41549,Dufferin / Napoléon,-73.78078,45.620992,0,0,2,0
41550,41550,Dufferin / Giguère,-73.78093,45.622188,0,0,2,0
41551,41551,Dufferin / Giguère,-73.78113,45.622251,0,0,2,0
41552,41552,Dufferin / Sicotte,-73.78127,45.623456,0,0,2,0
41553,41553,Dufferin / Sicotte,-73.78152,45.62368,0,0,2,0
41554,41554,Dufferin / du Ruisseau,-73.78172,45.625118,0,0,2,0
CP41555,41555,Dagenais / Curé-Labelle,-73.78931,45.579483,0,0,2,0
41556,41556,des Écores / Lévesque,-73.674,45.571786,0,0,2,0
41557,41557,des Écores / Lévesque,-73.67409,45.571938,0,0,2,0
41559,41559,Edgar / François,-73.79673,45.572676,0,0,2,0
41560,41560,Edgar / Flore,-73.79812,45.573428,0,0,2,0
41561,41561,Edgar / Flore,-73.79846,45.573436,0,0,2,0
41562,41562,Edgar / Félicien,-73.7998,45.574071,0,0,2,0
41563,41563,Edgar / Félicien,-73.80011,45.57398,0,0,2,0
41564,41564,Edgar / Foster,-73.80242,45.574064,0,0,2,0
41565,41565,Edgar / Foster,-73.80262,45.573893,0,0,2,0
41566,41566,Edgar / Hugues,-73.8058,45.573318,0,0,2,0
41567,41567,Edgar / Hugues,-73.80586,45.57311,0,0,2,1
41568,41568,Edgar / Isabelle,-73.80794,45.571692,0,0,2,0
41569,41569,Edgar / Édith,-73.7933,45.571011,0,0,2,0
41570,41570,Edgar / Élie,-73.79474,45.571925,0,0,2,0
41571,41571,Edgar / Élie,-73.79506,45.571933,0,0,2,0
41572,41572,Edgar / François,-73.79644,45.572685,0,0,2,0
CP41573,41573,Édith / Curé-Labelle,-73.78766,45.574327,0,0,2,1
41575,41575,Édith / Eugène,-73.78923,45.573217,0,0,2,0
41576,41576,Édith / Eugène,-73.78915,45.573433,0,0,2,0
41577,41577,Édith / Edgar,-73.79305,45.571092,0,0,2,0
41579,41579,les Érables / les Plaines,-73.86532,45.52196,0,0,2,0
41580,41580,les Érables / Les Tilleuls,-73.87658,45.522121,0,0,2,0
41581,41581,les Érables / face au 273,-73.87895,45.522716,0,0,2,0
41582,41582,les Érables / face au 274,-73.87874,45.522753,0,0,2,0
41585,41585,les Érables / les Pins,-73.8814,45.525093,0,0,2,0
41586,41586,les Érables / les Pins,-73.88094,45.525121,0,0,2,0
41587,41587,les Érables / les Bouleaux,-73.88344,45.525923,0,0,2,0
41588,41588,les Érables / les Bouleaux,-73.88303,45.525726,0,0,2,0
41589,41589,les Érables / les Sorbiers,-73.88313,45.527553,0,0,2,0
41590,41590,les Érables / les Plaines,-73.86517,45.522104,0,0,2,0
41591,41591,les Érables / les Sorbiers,-73.88299,45.527508,0,0,2,0
41592,41592,les Érables / les Ormes,-73.88313,45.528992,0,0,2,0
41594,41594,Les Érables / face au traversier,-73.86917,45.521624,0,0,2,0
41595,41595,les Érables / face au 80,-73.86778,45.521736,0,0,2,0
41596,41596,Les Érables / les Peupliers,-73.87139,45.521625,0,0,2,0
41597,41597,Les Érables / les Peupliers,-73.87107,45.521725,0,0,2,0
41598,41598,les Érables / les Chênes,-73.87391,45.52177,0,0,2,0
41599,41599,les Érables / les Chênes,-73.8735,45.521844,0,0,2,0
41600,41600,les Érables / Les Tilleuls,-73.87697,45.522075,0,0,2,0
41603,41603,Saint-Elzéar / face au Marché 440,-73.77128,45.570723,0,0,2,0
41604,41604,Saint-Elzéar / face au Marché 440,-73.7714,45.570382,0,0,2,1
