stop_id,stop_code,stop_name,stop_lon,stop_lat,location_type,stop_display,stop_abribus
AOUT1946489,46489,Ernest-Cormier / Paul-Kane [46489] ,-73.6486,45.631711,0,0,0
AOUT1946490,46490,Ernest-Cormier / Face Au 6810 [46490] ,-73.64581,45.633046,0,0,0
AOUT1946491,46491,Bernard-Lefebvre / Face Au 2555 [46491] ,-73.64491,45.634183,0,0,0
AOUT1946492,46492,Bernard-Lefebvre / Face Au 4000 [46492] ,-73.64666,45.636367,0,0,0
AOUT1946493,46493,Bernard-Lefebvre / Montée Masson [46493] ,-73.64198,45.636854,0,0,0
AOUT1946494,46494,Montée Masson / Place Verner [46494] ,-73.64151,45.634558,0,0,0
AOUT1946495,46495,Montée Masson / Bernard-Lefebvre [46495] ,-73.64117,45.632166,0,0,0
AOUT1946496,46496,Bernard-Lefebvre / Face Au 1855 [46496] ,-73.64347,45.632929,0,0,0
AOUT1946497,46497,Ernest-Cormier / Face Au 6810 [46497] ,-73.64606,45.633107,0,0,0
AOUT19CP46498,46498,Ernest-Cormier / Paul-Kane [46498] ,-73.64856,45.631727,0,0,1
AOUT1946499,46499,Autoroute 25 / Maurice-Duplessis [46499] ,-73.60489,45.622521,0,0,0
AOUT1946500,46500,Autoroute 25 / Maurice-Duplessis [46500] ,-73.60425,45.623331,0,0,0
AOUT1946501,46501,Jacques-Bureau / Daniel-Johnson [46501] ,-73.76098,45.572593,0,0,0
AOUT1946502,46502,Jacques-Bureau / Face Au 3020 [46502] ,-73.75726,45.574973,0,0,0
AOUT1946503,46503,Jacques-Bureau / Daniel-Johnson [46503] ,-73.7612,45.572681,0,0,1
AOUT1946504,46504,Jacques-Bureau / Face Au 3020 [46504] ,-73.75783,45.574821,0,0,1
AOUT1946505,46505,Curé-Labelle / Simone-De-Beauvoir [46505] ,-73.78376,45.570417,0,0,1
AOUT1946506,46506,Du Parc-Des-érables / Face Au 58 [46506] ,-73.76741,45.63595,0,0,0
AOUT1946507,46507,Du Parc-Des-érables / émile-Joly [46507] ,-73.76753,45.635672,0,0,0
AOUT1946509,46509,De L'avenir / Jacques-Tétreault [46509] ,-73.72082,45.559583,0,0,0
AOUT1946511,46511,Bellerose / Face Au 190 [46511] ,-73.7455,45.602725,0,0,0
AOUT1946512,46512,Bellerose / Face Au 225 [46512] ,-73.74541,45.602905,0,0,0
AOUT19CP46513,46513,Autoroute 25 / Larrey [46513] ,-73.58859,45.612934,0,0,0
AOUT19CP46514,46514,Autoroute 25 / Larrey [46514] ,-73.58768,45.613564,0,0,0
AOUT1946515,46515,Bretelle Autoroute 440 / Masson [46515] ,-73.64359,45.646846,0,0,0
AOUT1946517,46517,Route 125 / Stationnement Incitatif [46517] ,-73.6628,45.611295,0,0,0
AOUT1946518,46518,Chomedey / Chenonceau [46518] ,-73.75646,45.560463,0,0,0
AOUT1946519,46519,Chomedey / Quartier Saint-Martin [46519] ,-73.75337,45.557707,0,0,0
AOUT1946520,46520,Chomedey / Chenonceau [46520] ,-73.75589,45.560482,0,0,0
AOUT1946523,46523,Séguin / 45e Avenue [46523] ,-73.83726,45.573696,0,0,0
AOUT19CP46524,46524,Séguin / Face à L'usine D'épuration [46524] ,-73.83544,45.575564,0,0,0
AOUT19CP46525,46525,Séguin / Face à L'usine D'épuration [46525] ,-73.83562,45.575474,0,0,0
AOUT1946526,46526,Séguin / 45e Avenue [46526] ,-73.8372,45.573886,0,0,0
AOUT1946527,46527,Séguin / 43e Avenue [46527] ,-73.83839,45.573306,0,0,0
AOUT1946528,46528,Autoroute 25 / Perras [46528] ,-73.6124,45.629712,0,0,0
AOUT1946529,46529,Autoroute 25 / Perras [46529] ,-73.61014,45.628905,0,0,0
AOUT1946530,46530,Du Cosmodôme / Pierre-Péladeau [46530] ,-73.74521,45.564716,0,0,0
AOUT1946531,46531,Du Cosmodôme / Pierre-Péladeau [46531] ,-73.74473,45.565218,0,0,1
AOUT1946532,46532,Du Bord-De-L'eau / Des Géraniums [46532] ,-73.83743,45.521262,0,0,0
AOUT1946533,46533,Du Bord-De-L'eau / Des Géraniums [46533] ,-73.83805,45.521279,0,0,0
AOUT1946534,46534,Saint-Elzéar / Elsa-Triolet [46534] ,-73.77394,45.569644,0,0,0
AOUT1946535,46535,Saint-Elzéar / Elsa-Triolet [46535] ,-73.77383,45.569863,0,0,0
AOUT1946536,46536,Renaude-Lapointe / Bombardier [46536] ,-73.5833,45.609049,0,0,0
AOUT1946537,46537,Bombardier / Justine-Lacoste [46537] ,-73.58342,45.608431,0,0,0
AOUT1946538,46538,Des Ambassadeurs / Du Monarque [46538] ,-73.68251,45.623553,0,0,0
