stop_id,stop_code,stop_name,stop_lon,stop_lat,location_type,stop_display,wheelchair_boarding,stop_abribus
JUIN2343928,43928,Le Carrefour / Sélection Laval,-73.75429511,45.56485084,0,0,1,0
JUIN2343929,43929,Le Carrefour / Daniel-Johnson,-73.75421498,45.56525544,0,0,1,0
JUIN2343930,43930,Le Carrefour / Face au 3405,-73.75595763,45.56400302,0,0,2,0
JUIN2343931,43931,Le Carrefour / Face au Land Rover,-73.75702398,45.56320654,0,0,2,0
JUIN2343932,43932,Chomedey / Jean-Béraud,-73.76064304,45.56462907,0,0,1,0
JUIN2343933,43933,Saint-Elzéar / Alphonse-De Lamartine,-73.76588689,45.5736963,0,0,2,0
JUIN2343934,43934,Saint-Elzéar / Daniel-Johnson,-73.76388659,45.5744893,0,0,1,1
JUIN2343935,43935,Jacques-Bureau / Saint-Elzéar,-73.75766614,45.57796241,0,0,2,0
JUIN2343936,43936,Saint-Elzéar / Montée Saint-Aubin,-73.75352115,45.58113224,0,0,1,1
JUIN2343938,43938,Saint-Elzéar / face au 2055,-73.75204875,45.58216809,0,0,2,0
JUIN2343939,43939,Saint-Elzéar / face au 2055,-73.75179891,45.5825639,0,0,2,0
JUIN2343979,43979,Pierre-Péladeau / Terry-Fox,-73.74493263,45.56354804,0,0,1,1
JUIN2343980,43980,Pierre-Péladeau / Terry-Fox,-73.74447088,45.56341406,0,0,1,1
JUIN2343981,43981,Sainte-Rose / Bretigny,-73.82711085,45.57683078,0,0,2,0
JUIN2343982,43982,Sainte-Rose / Bretigny,-73.82705855,45.57665096,0,0,2,1
JUIN2343983,43983,Prudentiel / de la Gironde,-73.72114808,45.6233452,0,0,2,0
JUIN23CP43984,43984,Chomedey / Saint-Elzéar,-73.76859279,45.57152137,0,0,1,1
JUIN2343986,43986,Prudentiel / de Fribourg,-73.72522737,45.62763941,0,0,2,0
JUIN2343987,43987,Prudentiel / de Troyes,-73.72809765,45.62626496,0,0,2,0
JUIN23CP43988,43988,Prudentiel / René-Laennec,-73.72931142,45.62514675,0,0,2,0
JUIN23CP43989,43989,Prudentiel / René-Laennec,-73.72960498,45.62480423,0,0,1,0
JUIN2343990,43990,Prudentiel / de Troyes,-73.72810927,45.62596799,0,0,2,0
JUIN2343991,43991,Prudentiel / de Prague,-73.72660168,45.62738372,0,0,2,0
JUIN2343992,43992,Prudentiel / de la Gironde,-73.72295476,45.62620313,0,0,2,0
JUIN2343993,43993,Prudentiel / de Montevideo,-73.72191154,45.62480074,0,0,2,0
JUIN2343994,43994,Prudentiel / de la Gironde,-73.72143095,45.62353361,0,0,2,0
JUIN2343995,43995,René-Laennec / Bellerose,-73.72348011,45.61963338,0,0,1,0
JUIN2343996,43996,René-Laennec / Prudentiel,-73.72920802,45.62494899,0,0,1,0
JUIN2343997,43997,René-Laennec / des Lacasse,-73.73315713,45.62785643,0,0,1,0
JUIN2343998,43998,des Lacasse / de Gap,-73.7314297,45.62881376,0,0,2,0
JUIN23CP43999,43999,des Lacasse / d'Aveiro,-73.72847576,45.63107263,0,0,2,0
JUIN23CP44039,44039,terminus Le Carrefour,-73.74840509,45.56890103,0,0,1,0
JUIN23CP44042,44042,terminus Le Carrefour Quai: 8,-73.74827443,45.5682996,0,0,1,0
JUIN23CP44050,44050,terminus Le Carrefour Quai: 7,-73.74795672,45.56831517,0,0,1,0
JUIN23CP44056,44056,terminus Le Carrefour Quai: 9,-73.74846566,45.56842715,0,0,1,0
JUIN23CP44060,44060,terminus Le Carrefour Quai: 10,-73.74861883,45.56856966,0,0,1,0
JUIN23CP44061,44061,terminus Le Carrefour Quai: 3,-73.74791699,45.56891641,0,0,1,0
JUIN23CP44063,44063,terminus Le Carrefour Quai: 3,-73.74791699,45.56891641,0,0,1,0
JUIN23CP44066,44066,terminus Le Carrefour Quai: 10,-73.74861883,45.56856966,0,0,1,0
JUIN23CP44070,44070,terminus Le Carrefour Quai: 6,-73.74814808,45.56847248,0,0,1,0
JUIN23CP44139,44139,terminus Le Carrefour Quai: 6,-73.74814808,45.56847248,0,0,1,0
JUIN23CP44142,44142,terminus Le Carrefour,-73.74861951,45.56857079,0,0,1,0
JUIN23CP44150,44150,terminus Le Carrefour,-73.7484038,45.56889936,0,0,1,0
JUIN23CP44156,44156,terminus Le Carrefour Quai: 11,-73.74913124,45.56850605,0,0,1,0
JUIN23CP44160,44160,terminus Le Carrefour Quai: 11,-73.74913124,45.56850605,0,0,1,0
JUIN23CP44161,44161,terminus Le Carrefour Quai: 5,-73.74830115,45.56859416,0,0,1,0
JUIN23CP44163,44163,terminus Le Carrefour Quai: 5,-73.74830115,45.56859416,0,0,1,0
JUIN23CP44166,44166,terminus Le Carrefour,-73.74861539,45.5685726,0,0,1,0
